"","scenario_id","type_id","local_card_id","keyword1","keyword2","keyword3","description"
23,1,1,24,"strict","vaccine","cost","US FDA had a stricter approval process for vaccine or drug testing. The cost of development is expected to increase by $100 million."
24,1,1,25,"ME","guilty","false promotion","The company pleaded guilty to the false promotion of prescription drug ""Z"" (which is related to influenza) in 2010, including kickbacks to doctors and pharmacists. All fines were paid."
25,1,1,26,"ME","Asian governments","connection","Some board members for ME have a strong connection with several Asian governments and advocacy groups. The relationship is beneficial but not easily maintained."
26,1,1,27,"NJ","headquarter","business","NJ\'s headquarter in California, US, was founded in 1995 by three prominent scientists. The main business is contract development and research."
27,1,1,28,"NJ","partnership","research","NJ has a partnership with several research institutions in East Asia and Europe. They shared advanced techniques in pharmaceutical industries, such as artificial protein synthesis."
28,1,1,29,"NJ","top","patent","NJ applied for 300 patents last year, and most of them were granted. It is the top twenty company for patent applications worldwide."
29,1,1,30,"NJ","patent","resources","NJ owns over ten thousand pharmaceutical patents. They devote lots of resources to developing new methods. Last year, about 300 patents were granted."
30,1,1,31,"PI","history","Germany","The company has a history of over 100 years. The company was founded in 1885 and is based in Germany. Since then, its main products and service have been consumer health and over-the-counter drug."
31,1,1,32,"PI","revenue","countries","Last year, 50% of the company\'s revenues came from Europe, 5% came from each of China and Japan, and 45% came from other countries."
32,1,1,33,"SA","California","low-cost","SA is based in California, US, and it was founded by several prominent scientists five years ago. The company is famous for its low-cost small molecule drugs."
33,1,1,34,"SA","funds","valuation","Last year, the company raised about $500 million in series E and series F from the venture funds. The company\'s valuation reached $1 billion this year."
34,1,1,35,"SA","funds","promising","SA raised $500 million from venture funds last year. The company attracted private investors from B and C venture rounds, which sent the market a strong signal for their promising future."
35,1,1,36,"new trend","personalized med","precision therapies","Personalized medicine is a new trend for pharmaceutical companies, and precision therapies are increasingly adopted. Many other companies have started investing in the development of personalized medicines."
36,1,1,37,"market","yearly","rate","According to a recent report, the global pharmaceuticals market is expected to grow at an average rate of 2% yearly."
37,1,1,38,"ME","relationship","Asian governments","ME has a good relationship with Asian governments and several advocacy groups. But whether the relationship would be preserved after the acquisition is unknown."
38,1,1,39,"NJ","pharmaceutical factory","china 1975","The company was the first Western pharmaceutical company to set up a pharmaceutical factory in China in 1975."
39,1,1,40,"global","pharmaceuticals market","largest","North America was the largest pharmaceuticals market in the world, accounting for $46 of the global sales. Asia is the second largest market, with about 26% of the sales."
40,1,1,41,"SA","potential","scientists","Though the financial status of SA is not clear, it is a company with potential. Many talented scientists joined their research team."
41,1,2,1,"X","headquarter","silicon valley","X\'s headquarter is in the silicon valley. The building is bought from the most extensive media company. It also spent more than USD 10 million to renew the facility."
42,1,2,2,"X","compensation","employees","X has over ten thousand employees worldwide. The company emphasizes benefits to the employees. Compensation would be regular. Also, each year, the company holds several company trips to gel the teams."
43,1,2,3,"X","streaming","DVD rental","X is a US-based company founded in 2003. It was a DVD rental company at the beginning. After 2008, X transmitted into a streaming company providing video-on-demand service via the internet."
44,1,2,4,"X","DVD rental","video-service","X has been a DVD rental company since 2003. However, after 2008, X started its video streaming service. On-demand video service has become more and more popular in recent years."
45,1,2,5,"X","slow growth","DVD rental","X faced slow growth (1% to 0.5% yearly) in the DVD rental business since 2006 and started losing monthly customers for DVD rentals in 2008 (-15%). Due to the saturation of the DVD rental market and the fast growth of the internet content, X began a fast pace to transit into an online streaming company."
46,1,2,6,"X","subscribers","growth","Currently, X has over 20 million subscribers in the US and 15 million subscribers in Europe. The subscription growth rate has been about 10% in recent years."
47,1,2,7,"X","patents","recommender systems","X owns the patents of the recommender systems in contents. If AAA acquires X, the system can be integrated into the search engine of the original website. This is expected to generate accumulated $50 billion benefits to AAA."
48,1,2,8,"X","patents","search engines","X owns patents for video user-based recommender systems. AAA can utilize the techniques on their search engine after acquiring X. The system will benefit AAA for about $50 billion."
49,1,2,9,"X","expect","subscriber","It is expected that the subscribers will continually grow for the next three years. The average growth rate is expected to be 8%."
50,1,2,10,"X","AAA","invest","Due to the highly competitive market and increasing authorization fee for the content, it is suggested that AAA should invest in original content after the acquisition. The cost is expected to be over $5 billion."
51,1,2,11,"X","labor right","employee","X insists that AAA should allocate $500 million to ensure the labor right of the employees from X. Also, the compensation for these employees should not be worse than before. The cost is expected to be $500 million."
52,1,2,12,"Y","CEO","bankrupt","The CEO of Y founded an organic health food store in 1997, and the store went bankrupt in 2001. Its failure was the non-reducible cost of goods and storage, leading to unattractive prices."
53,1,2,13,"Y","expand","challenge","Y is planning to expand its business into Latin America. However, developing the storage system and the delivery system is challenging. They are trying to reassess their ability."
54,1,2,14,"Y","expand","reassess","Y faced challenges in the storage and delivery systems when expending its service in Latin America recently. They are trying to reassess their ability."
55,1,2,15,"Y","food","delivery","Y is a fresh food delivery service platform including meat and vegetables. Customers can order fresh food via app or website, and the company will deliver it the next day."
56,1,2,16,"Y","base","US","Y is based in the US, and it was founded in 2005. The company expanded to Canada in 2008. It partnered with local farms and the delivery service."
57,1,2,17,"Y","revenue","grow","Company Y has continuously grown by 15% in the past five years. It is expected that the company can generate over $60 billion in revenue in the future."
58,1,2,18,"Y","California","warehouse","Y owns several warehousing in California, which might be non-essential. After the acquisition, AAA will plan to integrate the storage of their original warehouses. The disposal of real estate in California is expected to result in an additional $2.5 billion in benefits."
59,1,2,19,"Y","warehouse","reduntant","AAA will choose to disposal of Y\'s warehouses in California after the acquisition because these warehouses will be redundant to AAA\'s original warehouses. There will be an additional $2.5 billion in benefits after the disposal."
60,1,2,20,"Y","delivery company","lawsuits","Y has lawsuits with a delivery company. The reason is that the delivery company regards a contract between them as proprietary, and Y cannot have other agreements with other delivery services. It is expected that Y will lose the lawsuit, and the compensation would be $10 million."
61,1,2,21,"Y","consultant","invest","The consultant suggested that if AAA acquired Y and covered its service to all cities in the US, AAA must invest in refrigerated storage systems or partner with other companies. The cost would be $1 billion."
62,1,2,22,"Y","evaluation","acquisition","According to the evaluation reports, it is expected that AAA will spend about $5 billion to acquire Y successfully."
63,1,2,23,"Z","Berlin","software","Company Z is a cloud-based software company that was founded in 2005. The headquarter of the company is in Berlin, Germany. Z has international offices in San Francisco, Hon kong, and Singapore."
64,1,2,24,"Z","2005","offices","Company Z was founded in 2005 in Berlin, Germany. Z provides cloud computing services in Europe, Asia, and North America. It has recently expanded its offices to San Francisco, Hon Kong, and Singapore."
65,1,2,25,"Z","SaaS","CRM","Z focuses on software as a service (SaaS) for customer relationship management. It provides solid and customizable web-based apps with numerous add-ons. Business users can quickly build, modify, or customize the services on the platform."
66,1,2,26,"Z","focus","technology","The company Z\'s main business focused on cloud technologies. The platform provides companies with app building and data management services."
67,1,2,27,"Z","ERP","promising","Company Z provides ERP, data pipeline, and app server systems for corporate users. It is one of the promising cloud service companies."
68,1,2,28,"Z","offering","Stock Exchange","The company had its initial public offering on the New York Stock Exchange and raised $1 billion in 2010. In 2015, the company issued $500 million in corporate bonds."
69,1,2,29,"Z","demand","expected","The demand for cloud computing has kept constantly growing these years. The expected payoff for the acquisition would be $50 billion for its core business."
70,1,2,30,"Z","add-ons","marketplace","Z operates an add-ons development platform that also supports numerous programming languages and different data exchange types. It also hosts a marketplace for add-ons where corporate users can use the apps developed by professional developers"
71,1,2,31,"Z","commission","add on","Z takes a 10% commission for each payment on the add-ons platform."
72,1,2,32,"Z","commission","profit","Z generates excellent profit from its add-ons platform. It can charge a 10% commission fee for each transaction on the platform."
73,1,2,33,"Z","patent","payoff","Company Z owns several patterns on cloud computing systems, especially the resource management and maintenance tools. After the acquisition, this will generate an additional $10 billion payoff for company AAA."
74,1,2,34,"Z","visualization","successful","In 2016, Z acquired a data visualization company. This helped Z successfully develop a better data analysis environment and generate over $1 billion in benefits for them."
75,1,2,35,"General","pandemic","transportation","Due to the Covid-19 pandemic, the transportation fees have increased by over 25% for all cargo worldwide."
76,1,2,36,"General","transportation","increase","The transportation fee worldwide has increased by about 25% because of the out break of the Covid-19 pandemic."
77,1,2,37,"General","clouds","robotics","The US government encourages corporates to invest in clouds and robotics. It is expected that the policies will lead to an additional 10% payoff for US-based cloud computing or AI companies."
78,1,2,38,"General","rise","tariff","The tariff in Asia several countries is expected to rise from 10% to 30%. This is because of the trading conflict between the US and these countries"
79,1,2,39,"General","Europe","company tax","It is expected that the company tax for Europe will rise in these years, and it will evitably affect the payoff for all Europe-based companies. The amount of influenced payoff is expected to be 15%."
80,1,2,40,"X","expand","AAA","The board of AAA\'s directors hopes to expand the business into the video streaming business. Therefore, X would be the option that meets their wishes."
81,1,2,41,"Z","market research","cloud computing","Several market research suggested that cloud computing is growing at a fast pace. The current evaluation method might undervalue these companies."
82,1,2,42,"General","pandanmic","e-commerce","During the covid pandemic, e-commerce proliferated. It had grown 50% of sales for the global market compared to the previous year."
83,1,3,1,"Auro","national","athlete","Auro has had several experiences in holding national athlete or sports games in the past 30 years. Also, there are several mature athletes organizations to support the games. This will result in an additional 100 payoff."
84,1,3,2,"Auro","experience","limited","Auro had never held an international game. Therefore, they had limited experience in holding global campaigns."
85,1,3,3,"Auro","agriculture","center","Auro is one of the centers of the great agricultural area. There are several international agricultural companies based in the city. The companies backed the city government by sponsoring the game to increase their reputation. The support of the fund will generate 150 outcome."
86,1,3,4,"Auro","agriculture","companies","Auro is a well-known city in the agricultural zone. There are many headquarters of international farm companies in the city. These companies are willing to support the city government to hold the game and gain a reputaion. The support of the fund will generate 150 outcomes."
87,1,3,5,"Auro","fundraising","plan","Auro\'s city government plans to hold a fundraising campaign. The plans include sponsors by the citizens and tourists with limited souvenirs designed by well-known artists."
88,1,3,6,"Auro","population","grow","The population of Auro has increased 50% in the last 20 years. It was elected as one of the most livable cities for retired people by the Liveability Survey. Auro is famous for its weather and public utilities."
89,1,3,7,"Auro","protest","oppose","After the city government of Auro announced its seeking to host the game, there were protests everywhere in the city. The residents opposed the game because it would bring crowds, noise, and garbage pollution."
90,1,3,8,"Auro","protest","square","There are protests every weekend at the city square to protest the game. The residents believed there would be crowds, noise, and garbage pollution when holding the game based on their experience."
91,1,3,9,"Auro","commute","airport","The nearest international airport to Auro is ABC Airport which is 35 miles away. The connection between the airport and the city mainly relies on commuting buses. Traveling from the airport to the city takes about one and a half hours."
92,1,3,10,"Auro","transportation","problems","The transportation in Auro highly relies on private vehicles. Though there is a long-term plan for a new-built metro system, the project cannot fully support the participants and visitors for the game. It is expected that there will be some traffic problems when holding the tournament. The research suggested that a 50 payoff reduction may apply."
93,1,3,11,"Basa","exhibition","competition","Basa has a long history of culture and art. Since the 18th century, the cities have held an art exhibition and competition every two years. The campaign appeals to millions of travelers worldwide and generates more than millions of incomes nowadays."
94,1,3,12,"Basa","history","crimes","Basa has a long history of culture and art. The cities often hold international exhibitions of fine art. However, many crimes such as violence and robbery happened in the past time of large campaigns. This would increase the risk and cost for safety and orders. (This results in a 200 payoff reduction.)"
95,1,3,13,"crimes","Basa","arts","Basa is a historical city with culture and art. Almost every year, there are exhibitions of fine art. However, as a city with many tourists, there are several safety issues, such as violence and robbery. To maintain order, the city government should put effort and resources into the issue, which will lead to an additional cost of 200 payoffs."
96,1,3,14,"Basa","tourists","budget","The city Basa welcomes tourists from all around the world. Last year, the city government raised funds from tourists for about 10 billion. Also, the city council had passed a 5 billion budget for holding the game. (This could generate 100 payoffs.)"
97,1,3,15,"Basa","famous","tourists","Basa is famous for its long history, founded in the middle ages. Tourists often enjoyed its art, architecture, culture, and cuisine."
98,1,3,16,"Basa","summer","weather","The weather in Basa is comfortable in summer, the time the game is holding. It seldom rains or has storms during that season."
99,1,3,17,"Basa","citizen","hospitality","The citizen of Basa has a well-known culture of hospitality and genuity. Most of the residents hold a positive attitude toward large campaigns. This might be because the city highly relies on the income from tourists."
100,1,3,18,"Basa","boat traveling","connect","Basa is famous for its boat traveling. Travelers can take boats in the canals through the city and connect to popular tourist spots."
101,1,3,19,"Basa","travelers","boat","Many travelers enjoy the boat tour at the canal of Basa. Travelers can take boats in the canals through the city and connect to famous tourist spots."
102,1,3,20,"Basa","locate","convenience","Basa is located in the middle of the continental. The train systems are well developed. Travelers can connect to other countries or main cities via train. Also, the international airport can be connected by train in 30 mins. The convenience could generate 150 payoffs."
103,1,3,21,"Cilia","exhibition","ariculture","Cilia held an agricultral exposition last year. The exhibition emphasized the interaction between humans and environments involving new technologies for sustainable solutions. The exhibition appealed to more than 100 thousand visitors."
104,1,3,22,"Cilia","limited","experience","Cilia had limited experience in holding international sports games. It should generate additional spending to seek consultants and supporters. The condition will result in a 50 payoff reduction."
105,1,3,23,"Cilia","campaigns","limited","Cilia is a new growing town that has limited experience in holding large international campaigns. They will need more resources to consult the experts and do research. This will result in an additional 50 payoff of the cost."
106,1,3,24,"Cilia","technology","companies","The city Cilia is one of the famous villages for technological industries. Many international companies have branches in Cilia, including finance, technologies, and biology companies. Several companies showed interest in sponsoring the game. This could result in a 100 payoff."
107,1,3,25,"Cilia","young city","utilities","Though Cilia is a young city, the utilities and businesses are well-formed. There are many shopping malls, amusement parks, bars, and clubs. Also, for about 50 mins travel, tourists can visit a great scenic area for camping and hiking."
108,1,3,26,"Cilia","environment","strict","Cilia emphasizes environmental protection and management. The city has strict policies on garbage disposal and classification. There will be fines for breaking the rules. Also, there are additional awards for green buildings."
109,1,3,27,"Cilia","strict","regulation","Cilia has stringent regulations on the garbage disposal. There are fines for misclassification or littering. They also spend resources on encouraging environmental protection, such as rewarding green buildings."
110,1,3,28,"Cilia","population","young","The population of Cilia is relatively young. Over 70% of the residents are below 50. Also, a survey shows over 85% of the citizens enjoy physical activities and love sports competitions."
111,1,3,29,"Cilia","convenience","metro systems","Cilia has a newly built metro system that includes two main lines. Travelers can travel from the airport to the city via the line in 30 mins. Also, there are several developing zones for establishing new sports fields among the metro lines. The convenience results in a 100 payoff."
112,1,3,30,"Debu","experience","exhibitions","Debu had several experiences in holding large and worldwide industrial exhibitions. The topics include new techniques, robotics, technology systems, and manufacturing applications. Each event could appeal to millions of visitors worldwide, including well-known cooperates."
113,1,3,31,"Debu","debt","bankrupt","Debu\'s government had a total of $20 billion in short-term and long-term debt. It is believed that the city will go bankrupt in five years. It is because of the decline of the steel industry and the poorly planned financial support."
114,1,3,32,"Debu","flood","rare","In 1950, there was a catastrophic flood striking Debu. Over 1,000 people were injured, missing, or dead. This kind of flood is rare, but the city spent lots of resources to prevent another strategy after that."
115,1,3,33,"Debu","flood","strategy","There was a devastating flood to Debu in 1950. The disaster took away about 1,000 lives and resulted in lots of homeless people. After the flood, the city spent lots of resources on flood control and welfare for the homeless."
116,1,3,34,"Debu","air pollution","heavy industies","Debu is a traditional city with heavy industries such as steel, boatbuilding, and petrochemical industries. The issue of air pollution is severe in the city. It is believed that a reduction of 100 payoffs for the pause of operation and athletes\' health."
117,1,3,35,"Debu","residents","welcome","The local congress and the residents in Debu believe that holding a tremendous physical game could bring glory back to the city. Both the government and people are very welcome to become the host of the game."
118,1,3,36,"Debu","extensive","subway","Debu has one of the most extensive subway systems in urban and suburban areas. The connection between airports, tourist spots, and main events fields. It is believed that this could generate 200 payoffs for the game."
119,1,3,37,"Debu","bankrupt","tax","Debu\'s city government is almost bankrupt. They got a total of $20 billion in debt. The experts believed that the city would go bankrupt in five years because of less tax income from the declining steel industry."
120,1,3,38,"Debu","traffic","highway","Debu also has perfect highway systems. Because of the declining population, traffic jams have been very rare in recent years."
121,1,3,39,"Rule","resource","factors","The team should consider their resource and potential to host a better game. The factors include: (1) funds and sponsors, (2) transportation, (3) game fields, (4) residents  attitude to the game, (5) experience in holding large campaign, etc."
122,1,3,40,"Rule","selection","exclude","According to the rules of host selection, we should exclude the city that residents oppose to the game, or the city with hard financial situation which cannot raise sufficient funds."
123,1,3,41,"Rule","crucial","tourist","The most crucial factor for a city to hold the game is its tourist resources. We believe these cities can smoothly arrange the activities and deal with the issues that come from the crowds."
124,1,3,42,"Auro","Rule","protest","The city with strong opposition from the citizen should not be considered to host the game. For example, we can expect a strong protest in the town for Auro to host the game."
125,2,1,1,"Victim","records","collections","[Victim] It is my favorite music records collections, and most of them are phonograph records. There are about 500 pieces included in the collection."
126,2,1,2,"Victim","genre","collections","[Victim] The collections of phonograph records include various types of genres, including classical, jazz, and pop music at the time. The produced years were from 1920 to nowadays."
127,2,1,3,"Detective","precious","records","[Detective] The collection includes lots of precious phonograph records. Various genres are included, such as classical, jazz, and pop music at the time. The collection was from 1920 to nowadays."
128,2,1,4,"Victim","high-valued records","secondhand market","[Victim] The collections include several out-of-print, high-valued records. These records might take over $2,000 in the secondhand market. Therefore, I think the guy might be someone familiar with this."
129,2,1,5,"Victim","strong","box","[Victim] The collections were stored in a wooden box. The box was quite large. An empty box is weighed about 5 kilograms. It is possible to be lifted by one person, but the guy might be strong."
130,2,1,6,"Detective","strong","box","[Detective] There is a large wooden box for storing all collections. The box only weighed about 5 kilograms. It is possible that the collection be lifted by a strong person only."
131,2,1,7,"Victim","collections","second floor","[Victim] The collections were stored on the second floor, and it was next to the record player. It can be reached quite easily. Also, the room is never locked."
132,2,1,8,"Victim","Chicago","collection","[Victim] We were not at home yesterday. We took a trip to Chicago yesterday and stayed there for a night. We were back this morning. Then when I went upstairs to the room storing the collections, I found that the whole box of the collection was gone."
133,2,1,9,"Neighbor","Suspect A","wearing","[Neighbor] Yesterday, I saw A wearing a black T-shirt with blue jeans. Also, he keeps wandering near the victim\'s house in the afternoon."
134,2,1,10,"Neighbor","Suspect A","car","[Neighbor] Suspect A owns a car in color of red, and he also owns a motorcycle in the color red. His neighbor said that they did not see the car that night."
135,2,1,11,"Neighbor","Suspect A","garage","[Neighbor] Suspect A owns a red car and a red motorcycle. The car wasn\'t in the garage last night."
136,2,1,12,"Neighbor","Suspect C","gym","[Neighbor] Suspect C often goes to the gyms, and we believe that he can easily lift the boxes as heavy as the description."
137,2,1,13,"Neighbor","Suspect A","polite","[Neighbor] A is a polite and friendly person. He always smiles at me when he is jogging in the morning."
138,2,1,14,"Neighbor","Suspect B","bad rumors","[Neighbor] I knew the suspect ""B."" The guy lives in the neighborhood. There are always some bad rumors that the guy had violent records at a young age. Also, the guy seems to be addicted to alcohol."
139,2,1,15,"Neighbor","Suspect B","alcohol","[Neighbor] Suspect B has a terrible reputation. Rumor has it that he committed a violence crime at a young age. What\'s more, he is addicted to alcohol."
140,2,1,16,"Neighbor","Suspect B","wear","[Neighbor] Suspect B often wear a red T-shirt in the neighborhood. Yesterday, he also wear a red T-shirt and jeans."
141,2,1,17,"Neighbor","Suspect B","cold","[Neighbor] Suspect B is always cold to the neighbors. We don\'t like him very much because he never responds to the greeting."
142,2,1,18,"Neighbor","Suspect B","vicious","[Neighbor] Suspect B is unwelcome to us because he looks vicious all the time. Not to mention that he never greets the neighbors."
143,2,1,19,"Neighbor","victim","Suspect B","[Neighbor] Suspect B is a friend of the victim. He often visited his house. He might be familiar with the victims\' items\' locations."
144,2,1,20,"Neighbor","dogs","barking","[Neighbor] There were dogs barking last niight around 1 a.m. It sounded like the victim\'s pet. I suspected it was the time the crime happened."
145,2,1,21,"Neighbor","bark","1am","[Neighbor] The victim has a dog that did not travel with the family last night. The dog was barking indignantly around 1 a.m. I believe it is the time that the crime happened."
146,2,1,22,"Neighbor","Suspect C","last night","[Neighbor] Suspect C visited my house last night and left my place at 2 a.m. The time would take about 15 minutes from my site to the victim\'s house."
147,2,1,23,"Neighbor","Suspect C","victim","[Neighbor] C often quarrels with the victim. It is because the victim often played music at high volume, and C thought it was pretty bothering."
148,2,1,24,"Neighbor","Suspect C","car","[Neighbor] C owns a car in the color of red, and he also owns a motorcycle in the color of blue. His neighbor said that they did not see the car in the garage that night."
149,2,1,25,"Detective","photgraph","size","[Detective] A phonograph record is weighted from about 120 grams to 200 grams. The size is from 10 to 15 inches in diameter. The records and the storage box are all gone."
150,2,1,26,"Detective","traces","move","[Detective] There were traces in the front yard of the victim\'s house. However, there are no signs that the criminal had moved any other items."
151,2,1,27,"Victim","footprints","locked","[Victim] When we were back home, we saw several footprints on the grassland of our yard. However, the door is still locked, and nothing was moved in the front yard."
152,2,1,28,"Detective","front door","break","[Detective] The guy might break into the house through the front door because we found some tools left around there."
153,2,1,29,"Detective","car","red","[Detective] A security camera had an image of a car stopping in front of the victim\'s house. However, it did not capture any person or the car plate. The car was in the color red."
154,2,1,30,"Victim","last night","red car","[Victim] The security camera in front of the front door captured a car stopping by my place for a very long time last night. However, neither the person nor the car plate was captured, while it was a red car."
155,2,1,31,"Detective","Suspect A","work","[Detective] Suspect A worked in a music records store at a young age. He might be familiar with the value of records."
156,2,1,32,"Detective","Suspect A","lift","[Detective] Suspect A works out three times a week. We believe that A can lift the box of collections quite easily."
157,2,1,33,"Detective","Suspect C","record player","[Detective] The suspect C owned a record player. It seems that the guy is also a collector of phonograph records."
158,2,1,34,"Neighbor","Suspect C","record player","[Neighbor] The last time I visited suspect C\'s house, I saw a delicate record player. Suspect C is also a lover of phonograph records."
159,2,1,35,"Detective","Suspect B","debt","[Detective] There is evidence that B is in debt. The guy is heavily addicted to computer games, and he spends lots of money on them. We believe that B needs additional funds to support the living cost."
160,2,1,36,"Victim","Suspect B","money borrowing","[Victim] B often borrows or begs money from the neighbors. He spent most of his money on computer gaming and left nothing for his daily spending."
161,2,1,37,"Detective","Suspect B","restaurant","[Detective] Several witnesses suggested that suspect B was at the fast-food restaurant the whole night on the day of the incident."
162,2,1,38,"financial","Suspect C","Detective","[Detective] We believe that C does not have any financial problems. He has almost a $5 million deposit in the bank."
163,2,1,39,"Neighbor","Suspect C","rumor","[Neighbor] C did not face any financial issues, as we know. Rumor has it that he owns over $5 million cash in his bank account."
164,2,1,40,"Detective","Suspect A","debt","[Detective] Suspect A might have had financial problems recently. He owed a huge amount of debt due to the failure of an investment."
165,2,1,41,"Detective","records","found","[Detective] The records were found in the second-hand store about 10 miles from the town. As per the report from the store owner, the guy who sold the collection understood how valuable the records were."
166,2,1,42,"Victim","Suspect B","argue","[Victim] I believe that B stole my collection. We argued about my collection last week, and B thought these records were tacky and not worth my time and money. I believe these are his words to lower my awareness."
167,2,1,43,"Neighbor","Suspect A","sneaking","[Neighbor] I saw suspect A hanging and sneaking around. He carried a backpack and looked around, seeming to prevent any witnesses. Also, he left a lever when he opened his trunk."
168,2,2,1,"Detective","key","treasury","[Detective] According to the account records, there should be $8,000 in the treasury. However, we found that there the money was gone. Also, we cannot find the key to the treasury. The case should be related to money, including money disputes or robbery."
169,2,2,2,"Detective","owner","poison","[Detective] The owner seems to vomit, suffocate, and lie in the kitchen. He might drink or eat something before he died. Some poison may have killed him. However, we did not find any cup of drink remained in the kitchen. It could be washed away."
170,2,2,3,"Detective","milk","cyanide","[Detective] A bottle of milk powder was found in the trash can outside the kitchen. As we send it for the test, we found out there is cyanide in it."
171,2,2,4,"Former Employee","owner","keys","[Former Employee] The owner always brings a bunch of keys with him, and these keys include the key for the treasury."
172,2,2,5,"Former Employee","gone","key","[Former Employee] The owner\'s key for the treasury was gone. Until now, no one found the key yet. We believed that the suspect use that key to open the treasury. After the suspect stole the money, he/she throw it away."
173,2,2,6,"Former Employee","key","missing","[Former Employee] The key, which belongs to the owner of the treasury, is still missing. The scene had been searched for several times, but nothing was found. The suspect might steal the key."
174,2,2,7,"Detective","owner","habit","[Detective] The owner had a habit of drinking a cup of milk before sleeping. He always placed the cup in the kitchen after he finished, and the chef or his wife usually washed the cup with other dishes."
175,2,2,8,"Villager","wash","cup","[Villager] The wife or the chef often washed the cup for the owner after he finished the milk before sleep every day."
176,2,2,9,"Prophet","room","treasury","[Prophet] The treasure was in the room of the owner, which is on the hotel\'s second floor. Several people entered that room and the chamber yesterday. These people included the wife, the chief, and the counter."
177,2,2,10,"Prophet","owner","poison","[Prophet] A kind of cyanide poisoned the owner. The symptoms of cyanide poisoning include vomiting, low heart pressure, shortness of breath, etc. The murderer put the poison into the ower\'s milk, and the owner drank it before he slept."
178,2,2,11,"Former Employee","hotel","histoey","[Former Employee] The hotel has a long history of over 100 years. Also, the hotel is still very profitable because of its special hot spring. After the owner\'s death, his brother will inherit the hotel\'s operation."
179,2,2,12,"owner","Villager","rumor","[Villager] Rumor has it that the hotel\'s owner has a close relationship with another woman. The woman works in another city, and the owner visits her once a week. He could have an affair with her."
180,2,2,13,"Detective","brother","waiter","[Detective] The brother does not work for the hotel. Actually, he graduated from college 10 years ago and now works as a waiter in a restaurant in other cities. The salary should be able to support his daily expense."
